"This is a Lao {0} invoice but it has no 10% VAT row. Add 'VAT 10% (ອາກອນ 10%)' to the taxes table, or set the Invoice Type to 'Export (0%)' or 'VAT Exempt'.",ໃບເກັບເງິນລາວປະເພດ {0} ນີ້ ບໍ່ມີແຖວອາກອນມູນຄ່າເພີ່ມ 10%. ກະລຸນາເພີ່ມ 'ອາກອນ 10%' ໃສ່ຕາຕະລາງອາກອນ ຫຼື ປ່ຽນປະເພດໃບເກັບເງິນເປັນ 'ສົ່ງອອກ (0%)' ຫຼື 'ປອດອາກອນ'.
Lao VAT Notice,ແຈ້ງເຕືອນອາກອນມູນຄ່າເພີ່ມ
"For invoices of {0} LAK or more, the customer's Lao Tax ID (ເລກປະຈຳຕົວ) should be recorded for VAT compliance.",ສຳລັບໃບເກັບເງິນມູນຄ່າ {0} ກີບ ຂຶ້ນໄປ ຕ້ອງບັນທຶກເລກປະຈຳຕົວຜູ້ເສຍອາກອນຂອງລູກຄ້າ ເພື່ອໃຫ້ຖືກຕ້ອງຕາມລະບຽບອາກອນ.
Lao Tax Compliance,ຄວາມຖືກຕ້ອງດ້ານອາກອນ
"No Withholding Tax category is set on this Purchase Invoice. If this is a service purchase from a Lao resident, WHT 10% (ອາກອນຫັກ ທີ່ແຫຼ່ງ 10%) may apply.",ໃບເກັບເງິນຊື້ນີ້ຍັງບໍ່ໄດ້ກຳນົດປະເພດອາກອນຫັກ ທີ່ແຫຼ່ງ. ຖ້າເປັນການຊື້ບໍລິການຈາກຜູ້ພັກອາໄສຢູ່ ສປປ ລາວ ອາດຕ້ອງຫັກອາກອນ 10%.
Lao WHT Notice,ແຈ້ງເຕືອນອາກອນຫັກ ທີ່ແຫຼ່ງ
Lao companies should use LAK (Lao Kip ₭) as the default currency.,ບໍລິສັດລາວຄວນໃຊ້ ກີບ (LAK ₭) ເປັນສະກຸນເງິນຫຼັກ.
Lao Currency Notice,ແຈ້ງເຕືອນສະກຸນເງິນ
Village name in Lao (ຊື່ບ້ານ) is required.,ຕ້ອງໃສ່ຊື່ບ້ານເປັນພາສາລາວ.
Lao District is required for a village.,ຕ້ອງລະບຸເມືອງສຳລັບບ້ານ.
District name in Lao (ຊື່ເມືອງ) is required.,ຕ້ອງໃສ່ຊື່ເມືອງເປັນພາສາລາວ.
Lao Province is required for a district.,ຕ້ອງລະບຸແຂວງສຳລັບເມືອງ.
Province name in Lao (ຊື່ແຂວງ) is required.,ຕ້ອງໃສ່ຊື່ແຂວງເປັນພາສາລາວ.
